Tue Feb  3 02:25:53 CST 2026
top - 02:25:53 up 386 days,  3:04,  2 users,  load average: 9.00, 9.01, 9.59
Tasks: 1917 total,   1 running, 1916 sleeping,   0 stopped,   0 zombie
%Cpu(s):  0.0 us,  0.1 sy,  0.0 ni, 99.9 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem : 1045781.+total, 530651.8 free,  24328.5 used, 490800.9 buff/cache
MiB Swap:  55295.9 total,  33148.7 free,  22147.2 used. 875414.7 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 226985 songhy2+  20   0  243648  16704   5440 R   9.1   0.0   0:00.05 top
 428497 root      -2   0       0      0      0 D   4.5   0.0   1758:36 dev4_sq_task
      1 root      20   0  194176   9920   4864 S   0.0   0.0  48:06.02 systemd
      2 root      20   0       0      0      0 S   0.0   0.0   2:02.68 kthreadd
      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp
      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par_gp
      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/0:0H-events_highpri
      9 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_percpu_wq
     10 root      20   0       0      0      0 S   0.0   0.0 615:26.05 ksoftirqd/0
     11 root      20   0       0      0      0 I   0.0   0.0 407:04.30 rcu_sched
     12 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_bh
     13 root      rt   0       0      0      0 S   0.0   0.0   0:23.90 migration/0
     14 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/0
     15 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/1
     16 root      rt   0       0      0      0 S   0.0   0.0   0:21.22 migration/1
     17 root      20   0       0      0      0 S   0.0   0.0  20:47.15 ksoftirqd/1
     19 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/1:0H-events_highpri
     20 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/2
     21 root      rt   0       0      0      0 S   0.0   0.0   0:19.20 migration/2
     22 root      20   0       0      0      0 S   0.0   0.0   9:16.41 ksoftirqd/2
     24 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/2:0H-events_highpri
     25 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/3
     26 root      rt   0       0      0      0 S   0.0   0.0   0:19.65 migration/3
     27 root      20   0       0      0      0 S   0.0   0.0   6:10.73 ksoftirqd/3
     29 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/3:0H-events_highpri
